date,session_key,driver_number,meeting_key,gap_to_leader,interval
2025-12-07T12:05:11.220000+00:00,9839,1,1276,0.0,0.0
2025-12-07T13:03:31.361000+00:00,9839,4,1276,0.22,0.22
2025-12-07T13:03:31.595000+00:00,9839,81,1276,0.481,0.261
2025-12-07T13:03:32.095000+00:00,9839,16,1276,0.826,
2025-12-07T13:03:32.126000+00:00,9839,63,1276,0.932,0.451
2025-12-07T13:03:32.142000+00:00,9839,14,1276,0.936,0.11
2025-12-07T13:03:32.751000+00:00,9839,31,1276,1.337,
2025-12-07T13:03:32.876000+00:00,9839,6,1276,1.492,0.155
2025-12-07T13:03:32.876000+00:00,9839,5,1276,1.503,0.567
2025-12-07T13:03:33.064000+00:00,9839,22,1276,1.665,0.173
2025-12-07T13:03:33.486000+00:00,9839,55,1276,2.033,
2025-12-07T13:03:33.548000+00:00,9839,30,1276,2.084,0.051
2025-12-07T13:03:33.814000+00:00,9839,87,1276,2.133,0.468
2025-12-07T13:03:33.892000+00:00,9839,18,1276,2.276,
2025-12-07T13:03:33.970000+00:00,9839,12,1276,2.374,0.29
2025-12-07T13:03:34.017000+00:00,9839,23,1276,2.617,
2025-12-07T13:03:34.048000+00:00,9839,44,1276,2.394,0.118
2025-12-07T13:03:34.095000+00:00,9839,27,1276,2.692,0.075
2025-12-07T13:03:34.392000+00:00,9839,10,1276,3.018,0.326
2025-12-07T13:03:34.408000+00:00,9839,43,1276,3.103,0.085
2025-12-07T13:03:35.422000+00:00,9839,4,1276,0.12,0.12
2025-12-07T13:03:35.819000+00:00,9839,81,1276,0.312,0.192
2025-12-07T13:03:35.921000+00:00,9839,16,1276,0.482,0.17
2025-12-07T13:03:36.250000+00:00,9839,14,1276,0.542,0.06
2025-12-07T13:03:36.596000+00:00,9839,63,1276,0.677,0.135
2025-12-07T13:03:36.708000+00:00,9839,22,1276,1.256,0.579
2025-12-07T13:03:36.926000+00:00,9839,31,1276,0.895,
2025-12-07T13:03:37.009000+00:00,9839,6,1276,0.885,0.208
2025-12-07T13:03:37.275000+00:00,9839,5,1276,1.004,0.109
2025-12-07T13:03:37.312000+00:00,9839,23,1276,1.854,0.598
2025-12-07T13:03:37.760000+00:00,9839,30,1276,1.351,0.095
2025-12-07T13:03:37.830000+00:00,9839,55,1276,1.508,0.157
2025-12-07T13:03:37.862000+00:00,9839,87,1276,1.619,0.111
2025-12-07T13:03:37.961000+00:00,9839,44,1276,1.738,0.119
2025-12-07T13:03:37.974000+00:00,9839,43,1276,2.504,
2025-12-07T13:03:38.038000+00:00,9839,12,1276,1.872,0.018
2025-12-07T13:03:38.083000+00:00,9839,18,1276,1.898,0.026
2025-12-07T13:03:38.279000+00:00,9839,27,1276,2.185,0.287
2025-12-07T13:03:38.351000+00:00,9839,10,1276,2.353,0.168
2025-12-07T13:03:39.818000+00:00,9839,4,1276,0.284,0.284
2025-12-07T13:03:39.908000+00:00,9839,81,1276,0.441,0.157
2025-12-07T13:03:40.389000+00:00,9839,16,1276,0.778,0.337
2025-12-07T13:03:40.444000+00:00,9839,14,1276,0.824,0.046
2025-12-07T13:03:40.670000+00:00,9839,63,1276,0.983,0.159
2025-12-07T13:03:41.363000+00:00,9839,5,1276,1.357,0.374
2025-12-07T13:03:41.513000+00:00,9839,6,1276,1.407,0.05
2025-12-07T13:03:41.765000+00:00,9839,31,1276,1.568,0.161
2025-12-07T13:03:41.871000+00:00,9839,22,1276,1.627,0.059
2025-12-07T13:03:41.998000+00:00,9839,30,1276,1.689,0.062
2025-12-07T13:03:42.328000+00:00,9839,55,1276,1.876,0.187
2025-12-07T13:03:42.361000+00:00,9839,87,1276,1.904,0.028
2025-12-07T13:03:42.496000+00:00,9839,44,1276,2.112,0.208
2025-12-07T13:03:42.525000+00:00,9839,23,1276,2.178,0.066
2025-12-07T13:03:42.706000+00:00,9839,12,1276,2.384,0.206
2025-12-07T13:03:42.706000+00:00,9839,18,1276,2.41,
2025-12-07T13:03:42.838000+00:00,9839,27,1276,2.616,0.206
2025-12-07T13:03:42.939000+00:00,9839,10,1276,2.789,0.173
2025-12-07T13:03:43.007000+00:00,9839,43,1276,2.955,0.166
2025-12-07T13:03:44.338000+00:00,9839,4,1276,0.407,0.407
2025-12-07T13:03:44.624000+00:00,9839,81,1276,0.682,0.275
2025-12-07T13:03:44.931000+00:00,9839,16,1276,0.985,0.303
2025-12-07T13:03:45.220000+00:00,9839,14,1276,1.241,0.256
2025-12-07T13:03:45.374000+00:00,9839,63,1276,1.416,0.175
2025-12-07T13:03:45.769000+00:00,9839,5,1276,1.76,0.344
2025-12-07T13:03:45.896000+00:00,9839,6,1276,1.903,0.143
2025-12-07T13:03:46.016000+00:00,9839,31,1276,2.031,0.128
2025-12-07T13:03:46.297000+00:00,9839,22,1276,2.236,0.205
2025-12-07T13:03:46.513000+00:00,9839,30,1276,2.386,0.15
2025-12-07T13:03:46.706000+00:00,9839,55,1276,2.499,0.113
2025-12-07T13:03:46.858000+00:00,9839,87,1276,2.63,0.131
2025-12-07T13:03:46.938000+00:00,9839,44,1276,2.707,0.077
2025-12-07T13:03:47.196000+00:00,9839,23,1276,2.93,0.223
2025-12-07T13:03:47.254000+00:00,9839,18,1276,3.071,0.141
2025-12-07T13:03:47.423000+00:00,9839,12,1276,3.276,0.205
2025-12-07T13:03:47.623000+00:00,9839,27,1276,3.542,0.266
2025-12-07T13:03:47.783000+00:00,9839,10,1276,3.779,0.237
2025-12-07T13:03:47.860000+00:00,9839,43,1276,3.906,0.127
2025-12-07T13:03:48.771000+00:00,9839,4,1276,0.423,0.423
2025-12-07T13:03:49.080000+00:00,9839,81,1276,0.726,0.303
2025-12-07T13:03:49.447000+00:00,9839,16,1276,1.109,0.383
2025-12-07T13:03:49.666000+00:00,9839,14,1276,1.329,0.22
2025-12-07T13:03:50.025000+00:00,9839,63,1276,1.684,0.355
