meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1141,7953,44,63,2023-03-05T15:03:45.594000+00:00,6
1141,7953,44,14,2023-03-05T15:03:45.594000+00:00,5
1141,7953,44,55,2023-03-05T15:03:45.594000+00:00,4
1141,7953,44,16,2023-03-05T15:03:45.594000+00:00,3
1141,7953,44,11,2023-03-05T15:03:45.594000+00:00,2
1141,7953,44,1,2023-03-05T15:03:45.594000+00:00,1
1141,7953,18,63,2023-03-05T15:03:45.750000+00:00,7
1141,7953,18,14,2023-03-05T15:03:45.750000+00:00,6
1141,7953,18,55,2023-03-05T15:03:45.750000+00:00,5
1141,7953,18,16,2023-03-05T15:03:45.750000+00:00,4
1141,7953,18,11,2023-03-05T15:03:45.750000+00:00,3
1141,7953,18,1,2023-03-05T15:03:45.750000+00:00,2
1141,7953,31,27,2023-03-05T15:03:45.828000+00:00,10
1141,7953,31,63,2023-03-05T15:03:45.828000+00:00,9
1141,7953,31,14,2023-03-05T15:03:45.828000+00:00,8
1141,7953,31,55,2023-03-05T15:03:45.828000+00:00,7
1141,7953,31,16,2023-03-05T15:03:45.828000+00:00,6
1141,7953,31,11,2023-03-05T15:03:45.828000+00:00,5
1141,7953,31,1,2023-03-05T15:03:45.828000+00:00,4
1141,7953,27,63,2023-03-05T15:03:46.172000+00:00,10
1141,7953,27,14,2023-03-05T15:03:46.172000+00:00,9
1141,7953,27,55,2023-03-05T15:03:46.172000+00:00,8
1141,7953,27,16,2023-03-05T15:03:46.172000+00:00,7
1141,7953,27,11,2023-03-05T15:03:46.172000+00:00,6
1141,7953,27,1,2023-03-05T15:03:46.172000+00:00,5
1141,7953,77,63,2023-03-05T15:03:46.203000+00:00,11
1141,7953,77,14,2023-03-05T15:03:46.203000+00:00,10
1141,7953,77,55,2023-03-05T15:03:46.203000+00:00,9
1141,7953,77,16,2023-03-05T15:03:46.203000+00:00,8
1141,7953,77,11,2023-03-05T15:03:46.203000+00:00,7
1141,7953,77,1,2023-03-05T15:03:46.203000+00:00,6
1141,7953,23,22,2023-03-05T15:03:46.312000+00:00,14
1141,7953,23,24,2023-03-05T15:03:46.312000+00:00,13
1141,7953,23,63,2023-03-05T15:03:46.312000+00:00,12
1141,7953,23,14,2023-03-05T15:03:46.312000+00:00,11
1141,7953,23,55,2023-03-05T15:03:46.312000+00:00,10
1141,7953,23,16,2023-03-05T15:03:46.312000+00:00,9
1141,7953,23,11,2023-03-05T15:03:46.312000+00:00,8
1141,7953,23,1,2023-03-05T15:03:46.312000+00:00,7
1141,7953,24,63,2023-03-05T15:03:46.578000+00:00,13
1141,7953,24,14,2023-03-05T15:03:46.578000+00:00,12
1141,7953,24,55,2023-03-05T15:03:46.578000+00:00,11
1141,7953,24,16,2023-03-05T15:03:46.578000+00:00,10
1141,7953,24,11,2023-03-05T15:03:46.578000+00:00,9
1141,7953,24,1,2023-03-05T15:03:46.578000+00:00,8
1141,7953,1,24,2023-03-05T15:03:46.703000+00:00,8
1141,7953,1,23,2023-03-05T15:03:46.703000+00:00,7
1141,7953,1,77,2023-03-05T15:03:46.703000+00:00,6
1141,7953,1,27,2023-03-05T15:03:46.703000+00:00,5
1141,7953,1,4,2023-03-05T15:03:46.703000+00:00,4
1141,7953,1,31,2023-03-05T15:03:46.703000+00:00,3
1141,7953,1,18,2023-03-05T15:03:46.703000+00:00,2
1141,7953,1,44,2023-03-05T15:03:46.703000+00:00,1
1141,7953,22,63,2023-03-05T15:03:46.781000+00:00,14
1141,7953,22,14,2023-03-05T15:03:46.781000+00:00,13
1141,7953,22,55,2023-03-05T15:03:46.781000+00:00,12
1141,7953,22,16,2023-03-05T15:03:46.781000+00:00,11
1141,7953,22,11,2023-03-05T15:03:46.781000+00:00,10
1141,7953,16,63,2023-03-05T15:03:46.812000+00:00,15
1141,7953,16,14,2023-03-05T15:03:46.812000+00:00,14
1141,7953,16,55,2023-03-05T15:03:46.812000+00:00,13
1141,7953,16,11,2023-03-05T15:03:46.812000+00:00,12
1141,7953,16,22,2023-03-05T15:03:46.812000+00:00,10
1141,7953,16,24,2023-03-05T15:03:46.812000+00:00,9
1141,7953,16,23,2023-03-05T15:03:46.812000+00:00,8
1141,7953,16,77,2023-03-05T15:03:46.812000+00:00,7
1141,7953,16,27,2023-03-05T15:03:46.812000+00:00,6
1141,7953,16,4,2023-03-05T15:03:46.812000+00:00,5
1141,7953,16,31,2023-03-05T15:03:46.812000+00:00,4
1141,7953,16,18,2023-03-05T15:03:46.812000+00:00,3
1141,7953,16,44,2023-03-05T15:03:46.812000+00:00,2
1141,7953,11,63,2023-03-05T15:03:46.844000+00:00,16
1141,7953,11,14,2023-03-05T15:03:46.844000+00:00,15
1141,7953,11,55,2023-03-05T15:03:46.844000+00:00,14
1141,7953,11,2,2023-03-05T15:03:46.844000+00:00,12
1141,7953,11,22,2023-03-05T15:03:46.844000+00:00,11
1141,7953,11,24,2023-03-05T15:03:46.844000+00:00,10
1141,7953,11,23,2023-03-05T15:03:46.844000+00:00,9
1141,7953,11,77,2023-03-05T15:03:46.844000+00:00,8
1141,7953,11,27,2023-03-05T15:03:46.844000+00:00,7
1141,7953,11,4,2023-03-05T15:03:46.844000+00:00,6
1141,7953,11,31,2023-03-05T15:03:46.844000+00:00,5
1141,7953,11,18,2023-03-05T15:03:46.844000+00:00,4
1141,7953,11,44,2023-03-05T15:03:46.844000+00:00,3
1141,7953,81,63,2023-03-05T15:03:46.875000+00:00,17
1141,7953,81,14,2023-03-05T15:03:46.875000+00:00,16
1141,7953,81,55,2023-03-05T15:03:46.875000+00:00,15
1141,7953,55,81,2023-03-05T15:03:46.906000+00:00,15
1141,7953,55,20,2023-03-05T15:03:46.906000+00:00,14
1141,7953,55,2,2023-03-05T15:03:46.906000+00:00,13
1141,7953,55,22,2023-03-05T15:03:46.906000+00:00,12
1141,7953,55,24,2023-03-05T15:03:46.906000+00:00,11
1141,7953,55,23,2023-03-05T15:03:46.906000+00:00,10
1141,7953,55,77,2023-03-05T15:03:46.906000+00:00,9
1141,7953,55,27,2023-03-05T15:03:46.906000+00:00,8
1141,7953,55,4,2023-03-05T15:03:46.906000+00:00,7
1141,7953,55,31,2023-03-05T15:03:46.906000+00:00,6
1141,7953,55,18,2023-03-05T15:03:46.906000+00:00,5
1141,7953,55,44,2023-03-05T15:03:46.906000+00:00,4
1141,7953,14,81,2023-03-05T15:03:47.219000+00:00,16
