date,session_key,pit_duration,meeting_key,driver_number,lap_number
2023-06-02T11:30:03.731000+00:00,9095,,1211,14,1.0
2023-06-02T11:30:07.637000+00:00,9095,,1211,11,1.0
2023-06-02T11:30:10.059000+00:00,9095,,1211,18,1.0
2023-06-02T11:30:11.903000+00:00,9095,,1211,21,1.0
2023-06-02T11:30:14.028000+00:00,9095,,1211,31,1.0
2023-06-02T11:30:15.575000+00:00,9095,,1211,55,1.0
2023-06-02T11:30:16.606000+00:00,9095,,1211,63,1.0
2023-06-02T11:30:19.121000+00:00,9095,,1211,77,1.0
2023-06-02T11:30:20.887000+00:00,9095,,1211,22,1.0
2023-06-02T11:30:23.278000+00:00,9095,,1211,2,1.0
2023-06-02T11:30:27.496000+00:00,9095,,1211,10,1.0
2023-06-02T11:30:34.043000+00:00,9095,,1211,24,1.0
2023-06-02T11:30:36.637000+00:00,9095,,1211,20,1.0
2023-06-02T11:30:46.761000+00:00,9095,,1211,81,1.0
2023-06-02T11:30:50.933000+00:00,9095,,1211,16,1.0
2023-06-02T11:30:54.043000+00:00,9095,,1211,44,1.0
2023-06-02T11:31:01.808000+00:00,9095,,1211,4,1.0
2023-06-02T11:31:16.933000+00:00,9095,,1211,1,1.0
2023-06-02T11:31:24.089000+00:00,9095,,1211,23,1.0
2023-06-02T11:32:34.728000+00:00,9095,,1211,27,1.0
2023-06-02T11:33:46.930000+00:00,9095,35.3,1211,14,3.0
2023-06-02T11:35:42.475000+00:00,9095,40.8,1211,18,4.0
2023-06-02T11:36:30.849000+00:00,9095,155.2,1211,21,3.0
2023-06-02T11:37:01.583000+00:00,9095,277.0,1211,2,2.0
2023-06-02T11:37:14.911000+00:00,9095,27.6,1211,16,5.0
2023-06-02T11:38:29.675000+00:00,9095,343.6,1211,81,2.0
2023-06-02T11:38:45.487000+00:00,9095,24.9,1211,11,6.0
2023-06-02T11:38:52.971000+00:00,9095,47.4,1211,20,6.0
2023-06-02T11:39:12.221000+00:00,9095,381.5,1211,4,2.0
2023-06-02T11:39:27.565000+00:00,9095,23.5,1211,1,6.0
2023-06-02T11:40:30.892000+00:00,9095,40.8,1211,27,6.0
2023-06-02T11:42:01.109000+00:00,9095,517.4,1211,77,3.0
2023-06-02T11:42:31.499000+00:00,9095,298.0,1211,18,5.0
2023-06-02T11:44:30.700000+00:00,9095,25.1,1211,23,9.0
2023-06-02T11:44:35.747000+00:00,9095,623.1,1211,24,3.0
2023-06-02T11:45:19.886000+00:00,9095,245.8,1211,22,8.0
2023-06-02T11:46:04.573000+00:00,9095,23.1,1211,16,11.0
2023-06-02T11:46:46.322000+00:00,9095,23.0,1211,55,12.0
2023-06-02T11:47:17.353000+00:00,9095,439.9,1211,21,5.0
2023-06-02T11:47:42.243000+00:00,9095,24.9,1211,2,9.0
2023-06-02T11:48:07.633000+00:00,9095,442.9,1211,4,3.0
2023-06-02T11:48:09.118000+00:00,9095,37.9,1211,18,8.0
2023-06-02T11:48:16.852000+00:00,9095,381.4,1211,63,9.0
2023-06-02T11:48:30.789000+00:00,9095,493.4,1211,81,3.0
2023-06-02T11:49:32.132000+00:00,9095,406.5,1211,44,9.0
2023-06-02T11:50:06.022000+00:00,9095,691.0,1211,14,6.0
2023-06-02T11:50:55.709000+00:00,9095,621.4,1211,10,8.0
2023-06-02T11:51:06.771000+00:00,9095,357.9,1211,31,10.0
2023-06-02T11:52:23.176000+00:00,9095,31.1,1211,21,8.0
2023-06-02T11:53:37.034000+00:00,9095,34.1,1211,18,11.0
2023-06-02T11:54:55.704000+00:00,9095,16.7,1211,16,16.0
2023-06-02T11:57:15.577000+00:00,9095,432.8,1211,11,13.0
2023-06-02T11:58:09.107000+00:00,9095,525.5,1211,1,12.0
2023-06-02T11:58:39.294000+00:00,9095,189.2,1211,18,12.0
2023-06-02T11:59:17.465000+00:00,9095,796.1,1211,20,11.0
2023-06-02T12:00:14.823000+00:00,9095,750.0,1211,27,11.0
2023-06-02T12:03:58.460000+00:00,9095,657.3,1211,22,13.0
2023-06-02T12:04:07.147000+00:00,9095,268.9,1211,63,17.0
