meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,message
1141,7765,2023-03-03T11:15:08+00:00,,,Other,,,,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%
1141,7765,2023-03-03T11:15:58+00:00,,,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1141,7765,2023-03-03T11:30:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7765,2023-03-03T11:59:07+00:00,14.0,,CarEvent,,,,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 4
1141,7765,2023-03-03T12:06:51+00:00,,,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1141,7765,2023-03-03T12:06:52+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1141,7765,2023-03-03T12:06:54+00:00,,,Other,,,,DRS ENABLED IN ZONE 3
1141,7765,2023-03-03T12:06:54+00:00,,,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1141,7765,2023-03-03T12:07:11+00:00,4.0,,CarEvent,,,,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 1
1141,7765,2023-03-03T12:09:21+00:00,55.0,,CarEvent,,,,CAR 55 (SAI) SPUN AND CONTINUED AT TURN 9
1141,7765,2023-03-03T12:27:27+00:00,,,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1141,7765,2023-03-03T12:27:28+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1141,7765,2023-03-03T12:27:29+00:00,,,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1141,7765,2023-03-03T12:27:29+00:00,,,Other,,,,DRS ENABLED IN ZONE 3
1141,7765,2023-03-03T12:30:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7765,2023-03-03T12:30:09+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 24 (ZHO)
1141,7765,2023-03-03T12:45:17+00:00,,,Other,,,,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%
1141,7766,2023-03-03T14:45:14+00:00,,,Other,,,,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%
1141,7766,2023-03-03T15:00:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7766,2023-03-03T15:11:12+00:00,,,Flag,YELLOW,Sector,2.0,YELLOW IN TRACK SECTOR 2
1141,7766,2023-03-03T15:11:13+00:00,,,Other,,,,DRS DISABLED IN ZONE 3
1141,7766,2023-03-03T15:11:21+00:00,,,Other,,,,DRS ENABLED IN ZONE 3
1141,7766,2023-03-03T15:11:21+00:00,,,Flag,CLEAR,Sector,2.0,CLEAR IN TRACK SECTOR 2
1141,7766,2023-03-03T15:11:30+00:00,81.0,,CarEvent,,,,CAR 81 (PIA) OFF TRACK AND CONTINUED AT TURN 1
1141,7766,2023-03-03T15:26:35+00:00,,,Other,,,,PIT LANE INCIDENT INVOLVING CARS 4 (NOR) AND 22 (TSU) NOTED - UNSAFE RELEASE
1141,7766,2023-03-03T15:28:30+00:00,,,Other,,,,CORRECTION: PIT LANE INCIDENT INVOLVING CARS 4 (NOR) AND 21 (DEV) NOTED - UNSAFE RELEASE
1141,7766,2023-03-03T15:39:59+00:00,2.0,,CarEvent,,,,CAR 2 (SAR) OFF TRACK AND CONTINUED AT TURN 10
1141,7766,2023-03-03T15:41:00+00:00,,,Other,,,,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 4 (NOR) AND 21 (DEV) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE
1141,7766,2023-03-03T15:44:46+00:00,14.0,,CarEvent,,,,CAR 14 (ALO) OFF TRACK AND CONTINUED AT TURN 10
1141,7766,2023-03-03T16:00:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7766,2023-03-03T16:00:15+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 10 (GAS)
1141,7766,2023-03-03T16:15:17+00:00,,,Other,,,,RISK OF RAIN FOR F2 QUALIFYING SESSION IS 0%
1141,7767,2023-03-04T11:15:16+00:00,,,Other,,,,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%
1141,7767,2023-03-04T11:18:23+00:00,,,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1141,7767,2023-03-04T11:30:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7767,2023-03-04T12:30:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7767,2023-03-04T12:30:15+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO)
1141,7768,2023-03-04T14:45:11+00:00,,,Other,,,,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%
1141,7768,2023-03-04T15:00:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7768,2023-03-04T15:04:38+00:00,,,Flag,RED,Track,,RED FLAG
1141,7768,2023-03-04T15:08:36+00:00,,,Flag,CLEAR,Track,,TRACK CLEAR
1141,7768,2023-03-04T15:08:38+00:00,,,Other,,,,SESSION WILL RESUME AT 18:12
1141,7768,2023-03-04T15:08:44+00:00,,,Drs,,,,DRS ENABLED
1141,7768,2023-03-04T15:12:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7768,2023-03-04T15:12:29+00:00,,,Other,,,,CAR 55 (SAI) TIME 1:32.408 DELETED - TRACK LIMITS AT TURN 8 LAP 3 18:03:06
1141,7768,2023-03-04T15:17:08+00:00,,,Other,,,,CAR 18 (STR) TIME 1:31.617 DELETED - TRACK LIMITS AT TURN 13 LAP 3 18:15:32
1141,7768,2023-03-04T15:25:23+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7768,2023-03-04T15:25:41+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 21 (DEV)
1141,7768,2023-03-04T15:27:01+00:00,,,Other,,,,Q2 WILL START AT 18:33
1141,7768,2023-03-04T15:28:31+00:00,,,Other,,,,CAR 10 (GAS) TIME 1:31.818 DELETED - TRACK LIMITS AT TURN 15 LAP 6 18:25:44
1141,7768,2023-03-04T15:33:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7768,2023-03-04T15:48:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7768,2023-03-04T15:48:22+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL)
1141,7768,2023-03-04T15:51:08+00:00,,,Other,,,,Q3 WILL START AT 18:56
1141,7768,2023-03-04T15:56:00+00:00,,,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7768,2023-03-04T16:05:08+00:00,,,Other,,,,CAR 27 (HUL) TIME 1:31.055 DELETED - TRACK LIMITS AT TURN 4 LAP 17 19:04:00
1141,7768,2023-03-04T16:08:00+00:00,,,Flag,CHEQUERED,Track,,CHEQUERED FLAG
1141,7768,2023-03-04T16:08:22+00:00,,,Other,,,,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR)
1141,7953,2023-03-05T14:04:34+00:00,,1.0,Other,,,,PINK HEAD PADDING MATERIAL MUST BE USED
1141,7953,2023-03-05T14:20:00+00:00,,1.0,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7953,2023-03-05T14:23:00+00:00,,1.0,Flag,YELLOW,Sector,10.0,YELLOW IN TRACK SECTOR 10
1141,7953,2023-03-05T14:23:04+00:00,,1.0,Flag,CLEAR,Sector,10.0,CLEAR IN TRACK SECTOR 10
1141,7953,2023-03-05T14:30:00+00:00,,1.0,Other,,,,PIT EXIT CLOSED
1141,7953,2023-03-05T14:45:11+00:00,,1.0,Other,,,,RISK OF RAIN FOR F1 RACE IS 0%
1141,7953,2023-03-05T14:57:09+00:00,,1.0,Drs,,,,DRS DISABLED
1141,7953,2023-03-05T15:03:38+00:00,,1.0,Flag,GREEN,Track,,GREEN LIGHT - PIT EXIT OPEN
1141,7953,2023-03-05T15:04:09+00:00,,1.0,Flag,YELLOW,Sector,4.0,YELLOW IN TRACK SECTOR 4
1141,7953,2023-03-05T15:04:09+00:00,,1.0,Flag,CLEAR,Sector,4.0,CLEAR IN TRACK SECTOR 4
1141,7953,2023-03-05T15:05:17+00:00,,2.0,Flag,YELLOW,Sector,11.0,YELLOW IN TRACK SECTOR 11
1141,7953,2023-03-05T15:05:52+00:00,,2.0,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1141,7953,2023-03-05T15:05:59+00:00,,2.0,Other,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1141,7953,2023-03-05T15:06:47+00:00,,2.0,Drs,,,,DRS ENABLED
1141,7953,2023-03-05T15:06:52+00:00,,2.0,Flag,CLEAR,Sector,11.0,CLEAR IN TRACK SECTOR 11
1141,7953,2023-03-05T15:07:37+00:00,,3.0,Other,,,,TURN 4 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) NOTED - CAUSING A COLLISION
1141,7953,2023-03-05T15:08:47+00:00,,4.0,Other,,,,CAR 4 (NOR) TIME 1:39.777 DELETED - TRACK LIMITS AT TURN 4 LAP 3 18:07:34
1141,7953,2023-03-05T15:10:36+00:00,,5.0,Other,,,,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 18 (STR) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION
1141,7953,2023-03-05T15:17:20+00:00,63.0,9.0,CarEvent,,,,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 10
1141,7953,2023-03-05T15:18:43+00:00,,10.0,Other,,,,CAR 77 (BOT) TIME 1:40.564 DELETED - TRACK LIMITS AT TURN 4 LAP 7 18:14:14
1141,7953,2023-03-05T15:19:29+00:00,,10.0,Other,,,,CAR 16 (LEC) TIME 1:38.614 DELETED - TRACK LIMITS AT TURN 4 LAP 8 18:15:41
1141,7953,2023-03-05T15:22:32+00:00,,12.0,Other,,,, INCIDENT INVOLVING CAR 31 (OCO) NOTED - INACCURATE GRID POSITION
1141,7953,2023-03-05T15:26:56+00:00,,15.0,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - INACCURATE GRID POSITION
1141,7953,2023-03-05T15:27:19+00:00,,15.0,Other,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 31 (OCO) - INACCURATE GRID POSITION
1141,7953,2023-03-05T15:29:33+00:00,,16.0,Other,,,,CAR 4 (NOR) TIME 1:38.870 DELETED - TRACK LIMITS AT TURN 4 LAP 15 18:28:10
1141,7953,2023-03-05T15:35:30+00:00,,20.0,Other,,,,INCIDENT INVOLVING CAR 31 (OCO) NOTED - SERVING TIME PENALTY INCORRECTLY 
1141,7953,2023-03-05T15:37:23+00:00,,21.0,Other,,,,CAR 21 (DEV) TIME 1:39.078 DELETED - TRACK LIMITS AT TURN 13 LAP 19 18:35:40
1141,7953,2023-03-05T15:42:44+00:00,,24.0,Other,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 31 (OCO) UNDER INVESTIGATION - SERVING TIME PENALTY INCORRECTLY 
1141,7953,2023-03-05T15:43:16+00:00,,25.0,Other,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 31 (OCO) - SERVING TIME PENALTY INCORRECTLY 
