position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key,points
1.0,11,21.0,False,False,False,92.758,0,1141,7765,
2.0,14,22.0,False,False,False,93.196,0.438,1141,7765,
3.0,1,21.0,False,False,False,93.375,0.617,1141,7765,
4.0,4,21.0,False,False,False,94.165,1.407,1141,7765,
5.0,16,17.0,False,False,False,94.257,1.499,1141,7765,
6.0,18,17.0,False,False,False,94.298,1.54,1141,7765,
7.0,20,20.0,False,False,False,94.402,1.644,1141,7765,
8.0,24,18.0,False,False,False,94.575,1.817,1141,7765,
9.0,77,20.0,False,False,False,94.689,1.931,1141,7765,
10.0,44,13.0,False,False,False,94.917,2.159,1141,7765,
11.0,63,20.0,False,False,False,94.966,2.208,1141,7765,
12.0,81,24.0,False,False,False,94.997,2.239,1141,7765,
13.0,22,20.0,False,False,False,95.015,2.257,1141,7765,
14.0,27,22.0,False,False,False,95.043,2.285,1141,7765,
15.0,31,20.0,False,False,False,95.105,2.347,1141,7765,
16.0,21,25.0,False,False,False,95.402,2.644,1141,7765,
17.0,10,22.0,False,False,False,95.455,2.697,1141,7765,
18.0,2,24.0,False,False,False,95.749,2.991,1141,7765,
19.0,23,15.0,False,False,False,96.018,3.26,1141,7765,
20.0,55,21.0,False,False,False,96.072,3.314,1141,7765,
1.0,14,25.0,False,False,False,90.907,0,1141,7766,
2.0,1,24.0,False,False,False,91.076,0.169,1141,7766,
3.0,11,26.0,False,False,False,91.078,0.171,1141,7766,
4.0,16,26.0,False,False,False,91.367,0.46,1141,7766,
5.0,27,25.0,False,False,False,91.376,0.469,1141,7766,
6.0,18,28.0,False,False,False,91.45,0.543,1141,7766,
7.0,10,24.0,False,False,False,91.475,0.568,1141,7766,
8.0,44,27.0,False,False,False,91.543,0.636,1141,7766,
9.0,4,27.0,False,False,False,91.57,0.663,1141,7766,
10.0,24,27.0,False,False,False,91.586,0.679,1141,7766,
11.0,31,25.0,False,False,False,91.608,0.701,1141,7766,
12.0,77,28.0,False,False,False,91.793,0.886,1141,7766,
13.0,63,25.0,False,False,False,91.882,0.975,1141,7766,
14.0,55,28.0,False,False,False,91.956,1.049,1141,7766,
15.0,81,27.0,False,False,False,92.024,1.117,1141,7766,
16.0,20,18.0,False,False,False,92.11,1.203,1141,7766,
17.0,23,28.0,False,False,False,92.44,1.533,1141,7766,
18.0,22,27.0,False,False,False,92.525,1.618,1141,7766,
19.0,21,28.0,False,False,False,92.605,1.698,1141,7766,
20.0,2,29.0,False,False,False,92.749,1.842,1141,7766,
1.0,14,13.0,False,False,False,92.34,0,1141,7767,
2.0,1,13.0,False,False,False,92.345,0.005,1141,7767,
3.0,11,12.0,False,False,False,92.446,0.106,1141,7767,
4.0,44,17.0,False,False,False,92.555,0.215,1141,7767,
5.0,16,21.0,False,False,False,92.624,0.284,1141,7767,
6.0,63,17.0,False,False,False,92.731,0.391,1141,7767,
7.0,18,16.0,False,False,False,92.919,0.579,1141,7767,
8.0,55,21.0,False,False,False,92.945,0.605,1141,7767,
9.0,81,12.0,False,False,False,93.045,0.705,1141,7767,
10.0,10,13.0,False,False,False,93.064,0.724,1141,7767,
11.0,31,16.0,False,False,False,93.116,0.776,1141,7767,
12.0,24,13.0,False,False,False,93.18,0.84,1141,7767,
13.0,4,16.0,False,False,False,93.202,0.862,1141,7767,
14.0,20,21.0,False,False,False,93.381,1.041,1141,7767,
15.0,27,23.0,False,False,False,93.423,1.083,1141,7767,
16.0,22,15.0,False,False,False,93.475,1.135,1141,7767,
17.0,77,14.0,False,False,False,93.629,1.289,1141,7767,
18.0,2,15.0,False,False,False,93.665,1.325,1141,7767,
19.0,23,15.0,False,False,False,93.882,1.542,1141,7767,
20.0,21,18.0,False,False,False,94.082,1.742,1141,7767,
1.0,1,15.0,False,False,False,"[91.295, 90.503, 89.708]","[0.302, 0.221, 0.0]",1141,7768,
2.0,11,15.0,False,False,False,"[91.479, 90.746, 89.846]","[0.486, 0.464, 0.138]",1141,7768,
3.0,16,17.0,False,False,False,"[91.094, 90.282, 90.0]","[0.101, 0.0, 0.292]",1141,7768,
4.0,55,18.0,False,False,False,"[90.993, 90.515, 90.154]","[0.0, 0.233, 0.446]",1141,7768,
5.0,14,15.0,False,False,False,"[91.158, 90.645, 90.336]","[0.165, 0.363, 0.628]",1141,7768,
6.0,63,15.0,False,False,False,"[91.057, 90.507, 90.34]","[0.064, 0.225, 0.632]",1141,7768,
7.0,44,15.0,False,False,False,"[91.543, 90.513, 90.384]","[0.55, 0.231, 0.676]",1141,7768,
8.0,18,18.0,False,False,False,"[91.184, 91.127, 90.836]","[0.191, 0.845, 1.128]",1141,7768,
9.0,31,15.0,False,False,False,"[91.508, 90.914, 90.984]","[0.515, 0.632, 1.276]",1141,7768,
10.0,27,17.0,True,False,False,"[91.204, 90.809, None]","[0.211, 0.527, None]",1141,7768,
11.0,4,13.0,False,False,False,"[91.652, 91.381, None]","[0.659, 1.099, None]",1141,7768,
12.0,77,12.0,False,False,False,"[91.504, 91.443, None]","[0.511, 1.161, None]",1141,7768,
13.0,24,12.0,False,False,False,"[91.615, 91.473, None]","[0.622, 1.191, None]",1141,7768,
14.0,22,15.0,False,False,False,"[91.4, 92.51, None]","[0.407, 2.228, None]",1141,7768,
15.0,23,8.0,True,False,False,"[91.461, None, None]","[0.468, None, None]",1141,7768,
16.0,2,6.0,False,False,False,"[91.652, None, None]","[0.659, None, None]",1141,7768,
17.0,20,6.0,False,False,False,"[91.892, None, None]","[0.899, None, None]",1141,7768,
18.0,81,7.0,False,False,False,"[92.101, None, None]","[1.108, None, None]",1141,7768,
19.0,21,9.0,False,False,False,"[92.121, None, None]","[1.128, None, None]",1141,7768,
20.0,10,6.0,False,False,False,"[92.181, None, None]","[1.188, None, None]",1141,7768,
1.0,1,57.0,False,False,False,5636.736,0,1141,7953,25.0
2.0,11,57.0,False,False,False,5648.723,11.987,1141,7953,18.0
3.0,14,57.0,False,False,False,5675.373,38.637,1141,7953,15.0
4.0,55,57.0,False,False,False,5684.788,48.052,1141,7953,12.0
