meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1141,7765,1,23,1.0,2.0,MEDIUM,0.0
1141,7765,1,2,1.0,2.0,HARD,0.0
1141,7765,1,77,1.0,3.0,MEDIUM,0.0
1141,7765,1,24,1.0,3.0,MEDIUM,0.0
1141,7765,1,4,1.0,6.0,MEDIUM,0.0
1141,7765,1,81,1.0,8.0,MEDIUM,0.0
1141,7765,1,21,1.0,8.0,MEDIUM,0.0
1141,7765,1,11,1.0,4.0,MEDIUM,0.0
1141,7765,1,22,1.0,12.0,MEDIUM,0.0
1141,7765,1,31,1.0,2.0,MEDIUM,0.0
1141,7765,1,10,1.0,8.0,MEDIUM,0.0
1141,7765,1,14,1.0,8.0,MEDIUM,0.0
1141,7765,1,16,1.0,6.0,MEDIUM,0.0
1141,7765,1,27,1.0,2.0,SOFT,0.0
1141,7765,1,55,1.0,7.0,MEDIUM,0.0
1141,7765,1,20,1.0,2.0,SOFT,0.0
1141,7765,1,1,1.0,4.0,MEDIUM,0.0
1141,7765,1,18,1.0,3.0,MEDIUM,0.0
1141,7765,2,11,4.0,7.0,MEDIUM,3.0
1141,7765,1,44,1.0,4.0,UNKNOWN,0.0
1141,7765,2,2,2.0,9.0,HARD,1.0
1141,7765,2,77,3.0,10.0,MEDIUM,2.0
1141,7765,2,1,4.0,6.0,MEDIUM,3.0
1141,7765,2,23,2.0,7.0,MEDIUM,1.0
1141,7765,1,63,1.0,10.0,MEDIUM,0.0
1141,7765,2,16,6.0,9.0,MEDIUM,5.0
1141,7765,2,27,2.0,12.0,SOFT,1.0
1141,7765,2,31,2.0,11.0,MEDIUM,1.0
1141,7765,2,20,2.0,10.0,SOFT,1.0
1141,7765,2,55,7.0,10.0,MEDIUM,6.0
1141,7765,2,44,4.0,7.0,MEDIUM,3.0
1141,7765,2,21,8.0,12.0,MEDIUM,7.0
1141,7765,2,24,3.0,10.0,MEDIUM,2.0
1141,7765,3,44,7.0,10.0,MEDIUM,6.0
1141,7765,3,23,7.0,10.0,MEDIUM,6.0
1141,7765,3,77,10.0,11.0,MEDIUM,9.0
1141,7765,2,14,8.0,15.0,MEDIUM,7.0
1141,7765,2,10,8.0,15.0,MEDIUM,7.0
1141,7765,2,4,6.0,9.0,MEDIUM,0.0
1141,7765,3,11,7.0,10.0,SOFT,0.0
1141,7765,3,1,6.0,9.0,SOFT,0.0
1141,7765,2,81,8.0,13.0,SOFT,0.0
1141,7765,3,21,12.0,18.0,SOFT,0.0
1141,7765,3,2,9.0,14.0,MEDIUM,0.0
1141,7765,2,22,12.0,18.0,SOFT,0.0
1141,7765,3,24,10.0,11.0,MEDIUM,9.0
1141,7765,4,77,11.0,14.0,SOFT,0.0
1141,7765,2,18,3.0,11.0,MEDIUM,2.0
1141,7765,3,4,9.0,13.0,SOFT,0.0
1141,7765,3,55,10.0,12.0,MEDIUM,0.0
1141,7765,5,77,14.0,17.0,SOFT,0.0
1141,7765,4,24,11.0,14.0,SOFT,0.0
1141,7765,4,21,18.0,19.0,SOFT,0.0
1141,7765,4,1,9.0,21.0,SOFT,3.0
1141,7765,3,16,9.0,12.0,MEDIUM,0.0
1141,7765,4,11,10.0,21.0,SOFT,3.0
1141,7765,3,81,13.0,22.0,SOFT,5.0
1141,7765,2,63,10.0,13.0,MEDIUM,0.0
1141,7765,3,20,10.0,20.0,SOFT,0.0
1141,7765,3,27,12.0,22.0,SOFT,0.0
1141,7765,3,31,11.0,20.0,MEDIUM,0.0
1141,7765,3,14,15.0,20.0,SOFT,0.0
1141,7765,4,44,10.0,13.0,MEDIUM,0.0
1141,7765,4,2,14.0,24.0,HARD,0.0
1141,7765,5,24,14.0,15.0,SOFT,3.0
1141,7765,4,55,12.0,21.0,MEDIUM,9.0
1141,7765,4,4,13.0,21.0,SOFT,4.0
1141,7765,3,10,15.0,22.0,MEDIUM,0.0
1141,7765,4,16,12.0,14.0,MEDIUM,0.0
1141,7765,3,63,13.0,20.0,MEDIUM,3.0
1141,7765,3,18,11.0,14.0,SOFT,0.0
1141,7765,5,21,19.0,25.0,MEDIUM,11.0
1141,7765,4,23,10.0,15.0,MEDIUM,0.0
1141,7765,6,24,15.0,18.0,SOFT,4.0
1141,7765,6,77,17.0,20.0,SOFT,6.0
1141,7765,4,18,14.0,17.0,SOFT,3.0
1141,7765,5,16,14.0,17.0,MEDIUM,5.0
1141,7765,3,22,18.0,20.0,MEDIUM,11.0
1141,7765,4,81,22.0,24.0,MEDIUM,7.0
1141,7765,4,14,20.0,22.0,SOFT,0.0
1141,7766,1,18,1.0,8.0,MEDIUM,0.0
1141,7766,1,77,1.0,8.0,MEDIUM,0.0
1141,7766,1,24,1.0,8.0,MEDIUM,0.0
